authors,count,percent
"Francesco Leofante, Hamed Ayoobi, Adam Dejl, Gabriel Freedman, Deniz Gorur, Junqi Jiang, Guilherme Paulino-Passos, Antonio Rago, Anna Rapberger, Fabrizio Russo, Xiang Yin, Dekai Zhang, Francesca Toni",1,0.19607843137254902
"Carsten Lutz, Lukas Schulze",1,0.19607843137254902
"Adam Sanborn, Jian-Qiao Zhu, Jake Spicer, Joakim Sundh, Pablo León-Villagrá, Nick Chater",1,0.19607843137254902
"Max Bannach, Markus Hecher",1,0.19607843137254902
"Giacomo Da Col, Erich Teppan",1,0.19607843137254902
"Jesse Heyninck, Richard Booth, Thomas Meyer, Lars-Phillip Spiegel",1,0.19607843137254902
"Xiang Yin, Nico Potyka, Francesca Toni",1,0.19607843137254902
"John Meyer, Daniela Inclezan",1,0.19607843137254902
Fang Li,1,0.19607843137254902
Alex Brik,1,0.19607843137254902
Kalonji Kalala,1,0.19607843137254902
"Giovanni Varricchione, Toryn Q. Klassen, Natasha Alechina, Mehdi Dastani, Brian Logan, Sheila A. McIlraith",1,0.19607843137254902
Francesca Toni,1,0.19607843137254902
Guanjun Liu,1,0.19607843137254902
"Andrea Cuteri, Giuseppe Mazzotta, Francesco Ricca",1,0.19607843137254902
"Spencer Killen, Jia-Huai You, Jesse Heyninck",1,0.19607843137254902
"Erica Coppolillo, Francesco Calimeri, Giuseppe Manco, Simona Perri, Francesco Ricca",1,0.19607843137254902
"Alexander Beiser, Martin Gebser, Markus Hecher, Stefan Woltran",1,0.19607843137254902
"Bryant Hargreaves, Dan N. Nguyen, Keegan Krimbell, Gopal Gupta",1,0.19607843137254902
"Ronald Fagin, Phokion G. Kolaitis, Domenico Lembo, Lucian Popa, Federico Scafoglieri",1,0.19607843137254902
Zachary Hansen,1,0.19607843137254902
"Stefano Fioravanti, Francesco Giannini, Pietro Barbiero, Paolo Frazzetto, Roberto Confalonieri, Fabio Zanasi, Nicolò Navarin",1,0.19607843137254902
Mohimenul Kabir,1,0.19607843137254902
"Tuan Quoc Nguyen, Katsumi Inoue, Chiaki Sakama",1,0.19607843137254902
"George A. Elder, Conrad Bessant",1,0.19607843137254902
"Michael Dingess, Miroslaw Truszczynski",1,0.19607843137254902
"Fengming Zhu, Weijia Xu, Yifei Guo, Fangzhen Lin",1,0.19607843137254902
"Daoming Lyu, Fangkai Yang, Bo Liu, Steven Gustafson",1,0.19607843137254902
"Alessandro Bertagnon, Marco Gavanelli",1,0.19607843137254902
"Jean Marie Lagniez, Emmanuel Lonca, Jean-Guy Mailly",1,0.19607843137254902
"Meghyn Bienvenu, Diego Figueira, Pierre Lafourcade",1,0.19607843137254902
"Carlos Aguilera-Ventura, Andreas Herzig, Xinghan Liu, Emiliano Lorini",1,0.19607843137254902
Yusuf Izmirlioglu,1,0.19607843137254902
"Sebastian Ordyniak, Giacomo Paesani, Mateusz Rychlicki, Stefan Szeider",1,0.19607843137254902
"Ly Ly Trieu, Tran Cao Son",1,0.19607843137254902
"Helder Coelho, José Carlos Cotta",1,0.19607843137254902
"Ho Tuan Dung, Tran Cao Son",1,0.19607843137254902
"Daxin Liu, Qihui Feng, Vaishak Belle, Gerhard Lakemeyer",1,0.19607843137254902
"Jorge Fandinno, Vladimir Lifschitz",1,0.19607843137254902
"Joaquín Arias, Manuel Carro, Zhuo Chen, Gopal Gupta",1,0.19607843137254902
Srinivas Devadas,1,0.19607843137254902
"Ofer Arieli, Christian Straßer",1,0.19607843137254902
"Tarek Khaled, Belaïd Benhamou",1,0.19607843137254902
"Maria Daskolia, Jaume Piera, Karen Soacha",1,0.19607843137254902
"Damián Aparicio-Sánchez, Santiago Escobar, Julia Sapiña",1,0.19607843137254902
Etienne Tignon,1,0.19607843137254902
Alexis R. Tudor,1,0.19607843137254902
"Angelos Charalambidis, Giannos Chatziagapis, Babis Kostopoulos, Panos Rondogiannis",1,0.19607843137254902
"Carsten Lutz, Quentin Manière",1,0.19607843137254902
"Oskar Fiuk, Emanuel Kieroński, Vincent Michielini",1,0.19607843137254902
Michael Thielscher,1,0.19607843137254902
"Jorge Fandinno, Zachary Hansen",1,0.19607843137254902
Shalin Hai-Jew,1,0.19607843137254902
"Eduardo Fermé, Sébastien Konieczny, Ramón Pino Pérez, Nicolas Schwind",1,0.19607843137254902
"Divyagna Bavikadi, Dyuman Aditya, Devendra Parkar, Paulo Shakarian, Graham Mueller, Chad Parvis, Gerardo I. Simari",1,0.19607843137254902
"Agata Ciabattoni, Dmitry Rozplokhas",1,0.19607843137254902
Yankai Zeng,1,0.19607843137254902
"Benjamin Wu, Alessandra Russo, Mark Law, Katsumi Inoue",1,0.19607843137254902
"Fabrizio Russo, Anna Rapberger, Francesca Toni",1,0.19607843137254902
"Sean Glaze, Daniela Inclezan",1,0.19607843137254902
