venue,1,2,3,4,5
iclp,0.25,0.16666666666666666,0.1636904761904762,0.20238095238095238,0.21726190476190477
kr,0.26436781609195403,0.27011494252873564,0.1724137931034483,0.1206896551724138,0.1724137931034483
