title,count,percent
Reasoning about Medical Triage Optimization with Logic Programming.,1,0.19607843137254902
Investigating the Grounding Bottleneck for a Large-Scale Configuration Problem: Existing Tools and Constraint-Aware Guessing.,1,0.19607843137254902
Solving Unification in the Description Logic FL_bottom.,1,0.19607843137254902
A Comparative Study of Text Representations for French Real-Estate Classified Advertisements Information Extraction.,1,0.19607843137254902
Contestable AI Needs Computational Argumentation.,1,0.19607843137254902
Description Logics with Abstraction and Refinement: From ALC to EL.,1,0.19607843137254902
Sampling and probabilistic inference in D/Slps.,1,0.19607843137254902
Distributed Answer Set Coloring: Stable Models Computation via Graph Coloring.,1,0.19607843137254902
Counting Solutions Under Cardinality Constraints: Structure Counts in Counting.,1,0.19607843137254902
Google vs IBM: A Constraint Solving Challenge on the Job-Shop Scheduling Problem.,1,0.19607843137254902
An Analysis of the Role of Syntax in Inductive Inference.,1,0.19607843137254902
CE-QArg: Counterfactual Explanations for Quantitative Bipolar Argumentation Frameworks.,1,0.19607843137254902
Introspecting Preferences in Answer Set Programming.,1,0.19607843137254902
Modelling and Verification of Timed Systems with the Event Calculus and s(CASP).,1,0.19607843137254902
APIA: An Architecture for Policy-Aware Intentional Agents.,1,0.19607843137254902
Design of a Solver for Multi-Agent Epistemic Planning.,1,0.19607843137254902
Computational methods for Dynamic Answer Set Programming.,1,0.19607843137254902
Graph Based Answer Set Programming Solver Systems.,1,0.19607843137254902
Splitting a Hybrid ASP Program.,1,0.19607843137254902
Logical foundations of Smart Contracts.,1,0.19607843137254902
Pushdown Reward Machines for Reinforcement Learning.,1,0.19607843137254902
Beyond Logic Programming for Legal Reasoning.,1,0.19607843137254902
"Proceedings 41st International Conference on Logic Programming, ICLP 2025, Rende, Italy, 12-19th September 2025.",1,0.19607843137254902
Operationalizing Declarative and Procedural Knowledge: a Benchmark on Logic Programming Petri Nets (LPPNs).,1,0.19607843137254902
Enhancing Compilation-based ASP Solving with Postponed Atom Discovery.,1,0.19607843137254902
Preferential Reasoning with Typicality in ASP over Weighted Argumentation Graphs in a Gradual Semantics.,1,0.19607843137254902
Adapting Approximation Fixpoint Theory to Nondeterministic Hybrid Reasoning.,1,0.19607843137254902
LLASP: Fine-tuning Large Language Models for Answer Set Programming.,1,0.19607843137254902
FastFound: Easing the ASP Bottleneck via Predicate-Decoupled Grounding.,1,0.19607843137254902
Automated Playing of Survival Video Games with Commonsense Reasoning.,1,0.19607843137254902
A Framework for Combining Entity Resolution and Query Answering in Knowledge Bases.,1,0.19607843137254902
Relating Answer Set Programming and Many-sorted Logics for Formal Verification.,1,0.19607843137254902
Methods for Solving Extremal Problems in Practice.,1,0.19607843137254902
Categorical Explaining Functors: Ensuring Coherence in Logical Explanations.,1,0.19607843137254902
Answer Set Counting and its Applications to Network Reliability and System Biology.,1,0.19607843137254902
Enhancing Linear Algebraic Computation of Logic Programs Using Sparse Representation.,1,0.19607843137254902
Inferring Compensatory Kinase Networks in Yeast using Prolog.,1,0.19607843137254902
Automated Aggregator - Rewriting with the Counting Aggregate.,1,0.19607843137254902
The Combined Problem of Online Task Assignment and Lifelong Path Finding in Logistics Warehouses: A Case Study.,1,0.19607843137254902
A Human-Centered Data-Driven Planner-Actor-Critic Architecture via Logic Programming.,1,0.19607843137254902
Geometric reasoning on the Traveling Salesperson Problem: comparing Answer Set Programming and Constraint Logic Programming Approaches.,1,0.19607843137254902
Exploiting the Full Power of Pearl&apos;s Causality in Probabilistic Logic Programming.,1,0.19607843137254902
Counterexample-Guided Abstraction Refinement for Assumption-based Argumentation.,1,0.19607843137254902
Tractable Responsibility Measures for Ontology-Mediated Query Answering.,1,0.19607843137254902
"Demonstrating (Hybrid) Active Logic Documents and the Ciao Prolog Playground, and an Application to Verification Tutorials.",1,0.19607843137254902
Counterfactual Reasoning via Grounded Distance.,1,0.19607843137254902
Pearce&apos;s Characterisation in an Epistemic Domain.,1,0.19607843137254902
Reasoning about Qualitative Direction and Distance between Extended Objects using Answer Set Programming.,1,0.19607843137254902
Learning Effect Axioms via Probabilistic Logic Programming.,1,0.19607843137254902
On the Independencies Hidden in the Structure of a Probabilistic Logic Program.,1,0.19607843137254902
Explaining Decisions in ML Models: A Parameterized Complexity Analysis.,1,0.19607843137254902
Repairing General Game Descriptions.,1,0.19607843137254902
xDNN(ASP): Explanation Generation System for Deep Neural Networks powered by Answer Set Programming.,1,0.19607843137254902
Teaching Prolog through Grammars.,1,0.19607843137254902
On Model Reconciliation: How to Reconcile When Robot Does not Know Human&apos;s Model?,1,0.19607843137254902
Concerning Measures in a First-order Logic with Actions and Meta-beliefs.,1,0.19607843137254902
Omega-Completeness of the Logic of Here-and-There and Strong Equivalence of Logic Programs.,1,0.19607843137254902
Justifications for Goal-Directed Constraint Answer Set Programming.,1,0.19607843137254902
A Report on Sequential KR-Approaches as Cognitive Logic.,1,0.19607843137254902
Compactness and Preservation in Logical Argumentation Frameworks.,1,0.19607843137254902
An ASP-based Approach for Attractor Enumeration in Synchronous and Asynchronous Boolean Networks.,1,0.19607843137254902
Constructionist Co-Design for the Learning Experience: A Work-in-Progress on Engaging Teachers to Integrate Logic Programming in Primary School.,1,0.19607843137254902
Variant-based Equational Unification under Constructor Symbols.,1,0.19607843137254902
Formalisation of Action with Durations in Answer Set Programming.,1,0.19607843137254902
Autonomous Task Completion Based on Goal-directed Answer Set Programming.,1,0.19607843137254902
Non-monotone Fixpoint Theory Based on the Structure of Weak Bilattices.,1,0.19607843137254902
Adding Circumscription to Decidable Fragments of First-Order Logic: A Complexity Rollercoaster.,1,0.19607843137254902
Two-Variable Logic for Hierarchically Partitioned and Ordered Data.,1,0.19607843137254902
General Game Playing - Killer App for Logic Programming.,1,0.19607843137254902
Recursive Aggregates as Intensional Functions.,1,0.19607843137254902
Generative Logic: Teaching Prolog as Generative AI in Art and Design.,1,0.19607843137254902
Credible Models of Belief Update.,1,0.19607843137254902
Geospatial Trajectory Generation via Efficient Abduction: Deployment for Independent Testing.,1,0.19607843137254902
Streamlining Input/Output Logics with Sequent Calculi.,1,0.19607843137254902
Democratising Access to Logic Programming: A Web Application Design Tool for Querying Prolog Code.,1,0.19607843137254902
Reliable Conversational Agents under ASP Control that Understand Natural Language.,1,0.19607843137254902
Learning Commonsense Knowledge Through Interactive Dialogue.,1,0.19607843137254902
Argumentative Causal Discovery.,1,0.19607843137254902
Architecture for Simulating Behavior Mode Changes in Norm-Aware Autonomous Agents.,1,0.19607843137254902
MTLearn: Extracting Temporal Rules Using Datalog Rule Learners.,1,0.19607843137254902
Solving Gossip Problems using Answer Set Programming: An Epistemic Planning Approach.,1,0.19607843137254902
Inductive First-Order Formula Synthesis by ASP: A Case Study in Invariant Inference.,1,0.19607843137254902
Towards Parallelising Extension Construction for Serialisable Semantics in Abstract Argumentation.,1,0.19607843137254902
Ontology-Based Query Answering over Datalog-Expressible Rule Sets is Undecidable.,1,0.19607843137254902
Reasoning about Study Regulations in Answer Set Programming (Preliminary Report).,1,0.19607843137254902
"Proceedings 36th International Conference on Logic Programming (Technical Communications), ICLP Technical Communications 2020, (Technical Communications) UNICAL, Rende (CS), Italy, 18-24th September 2020.",1,0.19607843137254902
Reasoning About Knowledge on Regular Expressions Is 2EXPTIME-Complete.,1,0.19607843137254902
"Weighted Merging Operators: Product, Utility-based Operators and Egalitarianism.",1,0.19607843137254902
Revising Boolean Logical Models of Biological Regulatory Networks.,1,0.19607843137254902
