candidate_key,candidate_group,variant_name,encoder_model,phase4_weight,modernbert_weight,logreg_c,cv_macro_f1,cv_std,fold_scores,official_run_id
phase4_modernbert_structured_c1_5_w0_54,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.45999999999999996,0.54,1.5,0.3416468855928424,0.029532758326197294,"[0.362915, 0.388766, 0.310369, 0.326366, 0.319817]",
phase4_modernbert_structured_c1_5_w0_52,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.48,0.52,1.5,0.3399846661501018,0.027056252511725554,"[0.36217, 0.381201, 0.310369, 0.326366, 0.319817]",
modernbert_structured_c16_0,standalone_encoder,structured,nomic-ai/modernbert-embed-base,0.0,1.0,16.0,0.3390383831619773,0.06101935862252174,"[0.333529, 0.420993, 0.368676, 0.33779, 0.234205]",
phase4_modernbert_structured_c2_0_w0_5,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.5,0.5,2.0,0.3378575379617984,0.031647511552195945,"[0.345229, 0.396327, 0.309456, 0.315449, 0.322827]",
phase4_reference_text_only_ensemble,phase4_reference,title_only,,1.0,0.0,0.0,0.3376286824210063,0.024355003710397168,"[0.37116, 0.357089, 0.301315, 0.32771, 0.330869]",
phase4_modernbert_structured_c1_5_w0_5,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.5,0.5,1.5,0.3356509561502553,0.03101768751429688,"[0.35594, 0.378326, 0.28589, 0.326366, 0.331732]",
phase4_modernbert_structured_c3_5_w0_6,lexical_semantic_blend,structured,nomic-ai/modernbert-embed-base,0.4,0.6,3.5,0.33376366997559304,0.04643052809624891,"[0.319861, 0.419639, 0.341051, 0.291228, 0.297039]",
modernbert_structured_c4_0,standalone_encoder,structured,nomic-ai/modernbert-embed-base,0.0,1.0,4.0,0.3325814102083111,0.0499664372492858,"[0.313999, 0.406277, 0.340952, 0.34891, 0.252768]",
modernbert_title_only_c1_0,standalone_encoder,title_only,nomic-ai/modernbert-embed-base,0.0,1.0,1.0,0.3288701083890727,0.053246152753483725,"[0.361464, 0.387206, 0.316014, 0.346831, 0.232836]",exp_m1_017
modernbert_structured_c2_0,standalone_encoder,structured,nomic-ai/modernbert-embed-base,0.0,1.0,2.0,0.32724292293954094,0.04478618643084957,"[0.331748, 0.381451, 0.34834, 0.328812, 0.245863]",
modernbert_title_only_c2_0,standalone_encoder,title_only,nomic-ai/modernbert-embed-base,0.0,1.0,2.0,0.3250247634996798,0.05607331781790277,"[0.298997, 0.408506, 0.316444, 0.358926, 0.24225]",
modernbert_structured_c1_0,standalone_encoder,structured,nomic-ai/modernbert-embed-base,0.0,1.0,1.0,0.3217155779531578,0.03928490156601347,"[0.329742, 0.376408, 0.336431, 0.309889, 0.256108]",
modernbert_title_only_c16_0,standalone_encoder,title_only,nomic-ai/modernbert-embed-base,0.0,1.0,16.0,0.31365878834396754,0.05316013814542631,"[0.302881, 0.389934, 0.305772, 0.341749, 0.227958]",
modernbert_title_only_c4_0,standalone_encoder,title_only,nomic-ai/modernbert-embed-base,0.0,1.0,4.0,0.312931654647988,0.05569459161307466,"[0.294613, 0.399961, 0.315884, 0.327216, 0.226984]",
modernbert_title_only_c8_0,standalone_encoder,title_only,nomic-ai/modernbert-embed-base,0.0,1.0,8.0,0.30871516161149964,0.05771430994886209,"[0.279338, 0.408599, 0.303976, 0.318432, 0.23323]",
