run_id,candidate_name,direction,feature_set,model,cv_macro_f1,cv_std,notes
exp_m1_002,word12_binary_c6,text_tuned_binary,title_clean_word12_binary,ovr_logistic_regression,0.33426110444091983,0.041402768125251746,phase3 candidate text_tuned_binary
exp_m1_003,word12_binary_c4,text_tuned_binary,title_clean_word12_binary,ovr_logistic_regression,0.3330865830447534,0.04116272449684571,phase3 candidate text_tuned_binary
exp_m1_004,word12_binary_c8,text_tuned_binary,title_clean_word12_binary,ovr_logistic_regression,0.3323892125082037,0.04323761169200409,phase3 candidate text_tuned_binary
exp_m1_011,word12_tfidf_c2_min2,text_stability_backup,title_clean_word12_tfidf_min2,ovr_logistic_regression,0.33041982690257365,0.023572793276041403,phase3 candidate text_stability_backup
exp_m1_005,word13_binary_c6,text_trigram,title_clean_word13_binary,ovr_logistic_regression,0.3264438519307642,0.04911616914584278,phase3 candidate text_trigram
exp_m1_009,word13_ridge,ridge_text,title_clean_word13_tfidf,ridge_classifier,0.3171286919381864,0.038715675612961034,phase3 candidate ridge_text
exp_m1_008,word12_svm_none_c05,linear_svm,title_clean_word12_tfidf,linear_svc,0.3163787728546855,0.036986944688512345,phase3 candidate linear_svm
exp_m1_006,title_venue_binary_c6,text_plus_metadata_tokens,title_plus_venue_word12_binary,ovr_logistic_regression,0.3074986332241574,0.03431640448171849,phase3 candidate text_plus_metadata_tokens
exp_m1_007,hybrid_word13_venue_lr,hybrid_sparse,title_word13_plus_venue_numeric,ovr_logistic_regression,0.30084927433099484,0.0298169773570369,phase3 candidate hybrid_sparse
exp_m1_010,char46_lr_c4,char_model,title_clean_char46_tfidf,ovr_logistic_regression,0.29934865033881086,0.032519511582762235,phase3 candidate char_model
