model_name,label,precision,recall,f1-score,support
phase3_single,1,0.49624060150375937,0.5076923076923077,0.5019011406844106,130.0
phase3_single,2,0.32989690721649484,0.3106796116504854,0.32,103.0
phase3_single,3,0.2,0.17647058823529413,0.1875,85.0
phase3_single,4,0.2077922077922078,0.1797752808988764,0.1927710843373494,89.0
phase3_single,5,0.4375,0.5436893203883495,0.48484848484848486,103.0
phase4_ensemble,1,0.5147058823529411,0.5384615384615384,0.5263157894736842,130.0
phase4_ensemble,2,0.32323232323232326,0.3106796116504854,0.31683168316831684,103.0
phase4_ensemble,3,0.19230769230769232,0.17647058823529413,0.18404907975460122,85.0
phase4_ensemble,4,0.21518987341772153,0.19101123595505617,0.20238095238095238,89.0
phase4_ensemble,5,0.4406779661016949,0.5048543689320388,0.47058823529411764,103.0
