metadata_svd_1,metadata_svd_2,Label
-2.593589927469104,0.5778495518932802,1
-0.9254975081426325,2.662519561572666,5
-2.638651857167484,-4.565479749472312,1
3.8615525334169076,-0.3329444082718176,5
3.6502520897798187,-0.4341504967286864,1
3.2952989223579108,-0.4484076569818313,3
-2.8932088240280245,-3.953453784140514,2
-1.0996032436702363,0.5407439008267774,4
3.47360599198788,-0.4707135048561851,1
-2.9362593643878863,-2.4929535791818007,1
-2.1011282308847323,-4.107819783732732,5
3.2755999143956864,-0.457386714768755,4
-2.7010033185298163,-4.089846338988182,1
-2.901595242140794,-1.102020689478511,1
-2.3681285702679076,-2.545775266786557,3
3.887979078893452,-0.3915480156622811,5
-1.8813096785305545,-2.555880317760343,4
3.447298845643864,-0.4392011876124086,4
3.2559626239852824,-0.46319795995483143,4
3.670216311758326,-0.3569411806142404,3
-2.586744677875448,-0.13293252037245443,3
-0.8533435591740232,2.7083315035293216,5
2.60140775439054,-0.8453732545758966,3
3.5660770844786693,-0.35036035596328796,5
3.812612909531939,-0.4041485573247924,2
3.6460591240006357,-0.4170703384727716,1
-0.8122613841895452,2.6946682233836152,1
-0.4416870905279872,-0.6405676173195071,3
-1.0916388223869613,-0.6264852927148297,2
-0.9648560790662568,-1.074732280890157,1
-2.3264434605010034,-2.038563169788604,5
-2.056231026657433,2.621853739011039,4
3.3886727333491593,-0.2802763503365048,5
-1.6054174569970485,2.634377736323336,4
-2.165892503620515,2.462776088041206,2
-2.325516705639464,0.2596735163205328,3
-0.9480951078110692,2.6643175076486605,4
3.7419799582553703,-0.42395907487311313,1
0.035558038763270815,0.5415278677973645,4
3.8135316836207176,-0.3329966974299145,4
-1.4979229108089809,2.730653774702641,1
-1.976755625059086,2.5842806199213877,5
-1.8670210966423282,1.1249498818881263,2
2.86979759540757,-0.13594184544259397,1
-1.3864595169566942,2.678120930258461,3
3.6998038565385283,-0.33448480122752805,5
-3.7062634529866636,-4.138424111199462,5
-3.097460137535059,-3.950503549891322,4
-2.9862625790854724,1.3560487574778706,1
3.816812428059045,-0.45998657213684274,2
-1.0957658036965472,2.6217493324596903,5
3.3366153692333453,-0.5254529249202955,2
-0.7257028341260912,0.7515654101276412,3
-2.3380386413593315,-2.0606983413155886,4
-1.8995348287396234,2.486661902318617,5
-0.929400314725181,2.687435907896684,4
3.3692953325147914,-0.41429869974189887,4
-3.500876506636727,-3.8194181130559373,3
-1.0862885741129829,-0.5805935202875225,2
-2.089112851803045,-1.9973513148963509,5
-2.0325208730290396,2.496310290247809,2
-1.723826025290226,-2.419311083521849,5
-1.4906139289973732,2.625834413985716,5
3.4669639790010747,-0.4688951113562627,1
-2.524566205838285,-2.8616848048013837,1
-1.618688445808348,2.61234441415963,5
-1.0772407224552167,2.64568611488655,5
1.392334519281407,-2.3700319392840967,3
-2.3532804568715244,-2.5495071131921287,1
-2.4999833840973293,-4.03801188353293,1
3.324083662285024,-0.35879755255946805,1
-2.0674298271000864,2.6011091936582065,4
-1.8207686868444213,2.67434559894828,4
-1.4076078854722327,0.6205525412992445,4
-1.2005050411085052,2.773721341585627,2
3.4101940722749107,-0.46960658004676387,2
-0.8409907619848049,2.680496713030701,3
-0.8510395771355861,2.5840201851490985,1
0.6751027635563577,-2.288822502188731,1
0.48460076752288606,0.26174687976275435,2
3.6750279731591733,-0.38431764897810733,3
3.4288379562765603,-0.39833157670635916,4
-1.6032866860729675,-2.445760869413257,4
-2.024152804845919,2.5541450703982562,3
3.8540738720185366,-0.23702758342258026,1
-2.1172664174519222,2.532515719083148,4
3.5254599409235547,-0.40853046901539236,3
3.7333711459330763,-0.4220900036042151,1
-2.855375930059452,-2.1432065169283687,4
